"Cryptocurrency","Year","FileName"
"Etherinc","01/03/2019","Etherinc.txt"
"Etherlegends","15/02/2018","Etherlegends.txt"
"Etheroll","01/02/2017","Etheroll.txt"
"Etherparty","15/09/2017","Etherparty.txt"
"Ethorse","01/11/2017","Ethorse.txt"
"Ethos","15/11/2017","Ethos.txt"
"EUNO Coin","01/09/2018","EUNO Coin.txt"
"Eva Cash","01/11/2018","Eva Cash.txt"
"evedo","16/04/2019","evedo.txt"
"Everex","23/07/2017","Everex.txt"
"EveriToken","26/03/2019","EveriToken.txt"
"Everus","01/10/2017","Everus.txt"
"EveryCoin","05/02/2018","EveryCoin.txt"
"Eximchain","13/03/2018","Eximchain.txt"
"EXMR FDN","01/10/2017","EXMR FDN.txt"
"Expanse","20/05/2017","Expanse.txt"
"Experience points","25/12/2017","Experience points.txt"
"Experty","29/09/2017","Experty.txt"
"Ezoow","01/08/2018","Ezoow.txt"
"Fabric Token","01/04/2019","Fabric Token.txt"
"Fabrk","01/10/2019","Fabrk.txt"
"Facebook Libra","01/06/2019","Facebook Libra.txt"
"Factom","25/04/2018","Factom.txt"
"FairCoin","01/06/2016","FairCoin.txt"
"FansTime","01/03/2018","FansTime.txt"
"Fantom","04/10/2018","Fantom.txt"
"Farad","07/07/2017","Farad.txt"
"Fast Access Blockchain","10/10/2017","Fast Access Blockchain.txt"
"Fetch","01/02/2019","Fetch.txt"
"FidentiaX","05/11/2017","FidentiaX.txt"
"Filecoin","19/07/2017","Filecoin.txt"
"fintrux","06/02/2018","fintrux.txt"
"Fire Lotto","01/01/2018","Fire Lotto.txt"
"Fitrova","26/03/2018","Fitrova.txt"
"Flash","15/07/2017","Flash.txt"
"Fleta","01/02/2019","Fleta.txt"
"Flexacoin","01/05/2019","Flexacoin.txt"
"FLIP","01/11/2017","FLIP.txt"
"Flixxo","12/11/2018","Flixxo.txt"
"Flowchain","03/03/2019","Flowchain.txt"
"FOAM","01/05/2018","FOAM.txt"
"FOINS","14/05/2018","FOINS.txt"
"Folding Coin","16/09/2014","Folding Coin.txt"
"FolmCoin","01/03/2018","FolmCoin.txt"
"FoodCoin","01/12/2017","FoodCoin.txt"
"FootballCoin","06/12/2018","FootballCoin.txt"
"Formosa Financial","01/05/2018","Formosa Financial.txt"
"Fortuna","01/02/2018","Fortuna.txt"
"FREE Coin","24/11/2018","FREE Coin.txt"
"Freicoin","24/08/2013","Freicoin.txt"
"Friendz","01/03/2018","Friendz.txt"
"fscp","28/06/2018","fscp.txt"
"FTX Token","30/07/2019","FTX Token.txt"
"FuckToken","13/07/2017","FuckToken.txt"
"Function X","27/12/2018","Function X.txt"
"FundYourselfNow","01/06/2017","FundYourselfNow.txt"
"FunFair","01/09/2018","FunFair.txt"
"FUSION","01/12/2017","FUSION.txt"
"Future1coin","30/06/2018","Future1coin.txt"
"FuzeX","20/01/2018","FuzeX.txt"
"Gainer","13/01/2018","Gainer.txt"
"Galactrum","01/03/2018","Galactrum.txt"
"Galaxy eSolutions","01/12/2017","Galaxy eSolutions.txt"
"GAMB","13/01/2018","GAMB.txt"
"GameCredits","01/07/2017","GameCredits.txt"
"GanjaCoin","30/01/2018","GanjaCoin.txt"
"Gaps Chain","06/04/2019","Gaps Chain.txt"
"Gatcoin","28/09/2018","Gatcoin.txt"
"GateChain","01/04/2019","GateChain.txt"
"GazeCoi","01/10/2017","GazeCoi.txt"
"Gemini Dollar","10/09/2018","Gemini Dollar.txt"
"Gems","07/11/2017","Gems.txt"
"Genaro Network","16/12/2017","Genaro Network.txt"
"Gene Source Code Chain","01/12/2018","Gene Source Code Chain.txt"
"Genesis vision","05/10/2017","Genesis vision.txt"
"GET Protocol","05/08/2017","GET Protocol.txt"
"Gexan","01/04/2019","Gexan.txt"
"Giant","20/09/2018","Giant.txt"
"Gibraltar","08/01/2018","Gibraltar.txt"
"Gifto","01/11/2017","Gifto.txt"
"GINcoin","01/02/2018","GINcoin.txt"
"GlassCoin","01/09/2017","GlassCoin.txt"
"GlitzKoin","01/11/2017","GlitzKoin.txt"
"Global Jobcoin","02/02/2018","Global Jobcoin.txt"
"Global Social Chain","01/01/2018","Global Social Chain.txt"
